,id,name,passwd
234,235,3M,44bdb574
235,236,Exelon,20c9c3b3
236,237,Tesoro,9f7e6e1a
237,238,Northwestern Mutual,3d53930d
238,239,Enterprise Products Partners,e914c472
239,240,Rite Aid,06df9948
240,241,Qualcomm,09f49b31
241,242,EMC,637cfbd6
242,243,Time Warner Cable,daab57f9
243,244,Northrop Grumman,fa091704
244,245,Lear,42367124
245,246,Facebook,11207a0c
246,247,Supervalu,9d6bfef2
247,248,NextEra Energy,8b6c9614
248,249,PG&E Corp.,7c6fe41c
249,250,Goodyear Tire & Rubber,6cbbb88d
250,251,Micron Technology,6d62f230
251,252,ConAgra Foods,1067ae58
252,253,Bank of New York Mellon Corp.,8553a576
253,254,Genuine Parts,a37d89f2
254,255,Omnicom Group,45e2aaf6
255,256,Monsanto,2fd7c361
256,257,National Oilwell Varco,0179df92
257,258,Marriott International,1a8463c0
258,259,Kinder Morgan,8645c63f
259,260,Molina Healthcare,86186b5b
260,261,Lincoln National,54d322f7
261,262,C.H. Robinson Worldwide,54273597
262,263,Synnex,a86d7846
263,264,HollyFrontier,1f1b4e32
264,265,PBF Energy,6cdc3f65
265,266,Waste Management,ecc63bd9
266,267,Parker-Hannifin,0679c93e
267,268,Farmers Insurance Exchange,f4887f64
268,269,VF,1be459a8
269,270,Hertz Global Holdings,a1a3433f
270,271,BB&T Corp.,e023611a
271,272,Global Partners,c02305a0
272,273,Sempra Energy,cca5792b
273,274,Precision Castparts,cb41687f
274,275,W.W. Grainger,24961496
275,276,Air Products & Chemicals,50f2cd81
276,277,Charter Communications,2d451639
277,278,Applied Materials,7916f7a3
278,279,Ally Financial,4dad19c6
279,280,Lennar,243a032f
280,281,Hormel Foods,0e3b5c16
281,282,PayPal Holdings,2847a9ae
282,283,Autoliv,abfc5520
283,284,Corning,1b83835e
284,285,Univar,7463e631
285,286,Thrivent Financial for Lutherans,78393986
286,287,Walmart,b3ad8143
287,288,Exxon Mobil,02a3bfc7
288,289,Apple,94c12db4
289,290,Berkshire Hathaway,44b9e351
290,291,McKesson,4f821b4e
291,292,UnitedHealth Group,7543d95d
292,293,CVS Health,5f97f8cc
293,294,General Motors,d23e4886
294,295,Ford Motor,12a45e51
295,296,AT&T,5b12d052
296,297,General Electric,a38cdc0f
297,298,AmerisourceBergen,a64a5d7c
298,299,Verizon,b86816de
299,300,Chevron,2ae34759
300,301,Costco,22afde31
301,302,Fannie Mae,9de7fa55
302,303,Kroger,6a6ddb25
303,304,Amazon.com,6dfa38d3
304,305,Walgreens Boots Alliance,356aa4db
305,306,HP,ca6c0b84
306,307,Cardinal Health,ec694e3e
307,308,Express Scripts Holding,54c96df0
308,309,J.P. Morgan Chase,eaf384ca
309,310,Boeing,2ae38edb
310,311,Microsoft,5e8a806c
311,312,Bank of America Corp.,e1e8d78a
312,313,Wells Fargo,d059ef25
313,314,Home Depot,308b511f
314,315,Citigroup,d7eb52ec
315,316,Phillips 66,5f35d0dc
316,317,IBM,791410af
317,318,Valero Energy,ea38e1e7
318,319,Anthem,774c5854
